kb_id,category,intent,title,problem,symptoms,resolution_steps,additional_information,escalation_condition,search_text
KB025,API/Integration,api_authentication,API authentication failure,API requests fail because authentication is invalid or missing.,401/403 responses; invalid token/key.,"Verify API key/token, authorization header, environment variable, endpoint, and required permissions. Reissue credentials if appropriate.",Never expose secret keys in support messages or logs.,Escalate suspected credential compromise.,"Category: API/Integration
Intent: api_authentication
Issue: API authentication failure
Problem: API requests fail because authentication is invalid or missing.
Symptoms: 401/403 responses; invalid token/key.
Resolution: Verify API key/token, authorization header, environment variable, endpoint, and required permissions. Reissue credentials if appropriate.
Additional information: Never expose secret keys in support messages or logs.
Escalation: Escalate suspected credential compromise."
KB038,API/Integration,api_documentation_mismatch,API documentation mismatch,Documentation examples do not match actual API responses.,Unexpected response fields/shape.,"Verify API version and endpoint, consult the current schema/changelog, and use the version-specific documentation.",Avoid coding against outdated examples.,Escalate confirmed documentation defects.,"Category: API/Integration
Intent: api_documentation_mismatch
Issue: API documentation mismatch
Problem: Documentation examples do not match actual API responses.
Symptoms: Unexpected response fields/shape.
Resolution: Verify API version and endpoint, consult the current schema/changelog, and use the version-specific documentation.
Additional information: Avoid coding against outdated examples.
Escalation: Escalate confirmed documentation defects."
KB030,API/Integration,api_stale_data,API returns stale data,GET requests return older values after an update.,Dashboard changed but API has old value.,Check cache behavior and cache-control/invalidation status. Retry after the documented propagation period.,Caching can create temporary stale reads.,Escalate if stale data persists beyond the documented window.,"Category: API/Integration
Intent: api_stale_data
Issue: API returns stale data
Problem: GET requests return older values after an update.
Symptoms: Dashboard changed but API has old value.
Resolution: Check cache behavior and cache-control/invalidation status. Retry after the documented propagation period.
Additional information: Caching can create temporary stale reads.
Escalation: Escalate if stale data persists beyond the documented window."
KB029,API/Integration,api_timeout,API request times out,Large or slow API operations exceed the request timeout.,Timeout; 30-second request failure.,"Use pagination, filtering, smaller requests, or an asynchronous job/export endpoint when available.",Large exports should generally be processed asynchronously.,Escalate if normal-sized requests time out.,"Category: API/Integration
Intent: api_timeout
Issue: API request times out
Problem: Large or slow API operations exceed the request timeout.
Symptoms: Timeout; 30-second request failure.
Resolution: Use pagination, filtering, smaller requests, or an asynchronous job/export endpoint when available.
Additional information: Large exports should generally be processed asynchronously.
Escalation: Escalate if normal-sized requests time out."
KB032,API/Integration,batch_partial_failure,Batch request partially fails,A batch operation succeeds only for some records.,Partial success; missing per-item result.,"Inspect per-item errors, retry only failed records, and use supported batch limits.",Do not blindly repeat the entire batch if it may create duplicates.,Escalate repeated failures for the same records.,"Category: API/Integration
Intent: batch_partial_failure
Issue: Batch request partially fails
Problem: A batch operation succeeds only for some records.
Symptoms: Partial success; missing per-item result.
Resolution: Inspect per-item errors, retry only failed records, and use supported batch limits.
Additional information: Do not blindly repeat the entire batch if it may create duplicates.
Escalation: Escalate repeated failures for the same records."
KB036,API/Integration,duplicate_integration_records,Integration creates duplicates,Third-party integration creates duplicate objects instead of updating existing ones.,Duplicate tickets/records on every sync.,Verify external IDs/mapping keys and reconnect the integration if its subscription or mapping was invalidated.,Matching by mutable names/titles is less reliable than stable external IDs.,Escalate persistent duplication.,"Category: API/Integration
Intent: duplicate_integration_records
Issue: Integration creates duplicates
Problem: Third-party integration creates duplicate objects instead of updating existing ones.
Symptoms: Duplicate tickets/records on every sync.
Resolution: Verify external IDs/mapping keys and reconnect the integration if its subscription or mapping was invalidated.
Additional information: Matching by mutable names/titles is less reliable than stable external IDs.
Escalation: Escalate persistent duplication."
KB034,API/Integration,idempotency,Duplicate creation after retry,A retried request creates duplicate records.,Duplicate orders/resources after timeout or retry.,Use a stable idempotency key for retried create operations and verify the documented idempotency window.,Idempotency keys must remain stable across retries.,Escalate confirmed duplicate creation despite correct keys.,"Category: API/Integration
Intent: idempotency
Issue: Duplicate creation after retry
Problem: A retried request creates duplicate records.
Symptoms: Duplicate orders/resources after timeout or retry.
Resolution: Use a stable idempotency key for retried create operations and verify the documented idempotency window.
Additional information: Idempotency keys must remain stable across retries.
Escalation: Escalate confirmed duplicate creation despite correct keys."
KB035,API/Integration,integration_not_syncing,Integration stopped syncing,Connected third-party integration no longer transfers records.,No new records; sync failure.,"Reconnect/reauthorize the integration, inspect the last successful sync, verify required fields and permissions, and retry the sync.",Deleted custom fields or revoked permissions can stop synchronization.,Escalate after configuration and permission checks fail.,"Category: API/Integration
Intent: integration_not_syncing
Issue: Integration stopped syncing
Problem: Connected third-party integration no longer transfers records.
Symptoms: No new records; sync failure.
Resolution: Reconnect/reauthorize the integration, inspect the last successful sync, verify required fields and permissions, and retry the sync.
Additional information: Deleted custom fields or revoked permissions can stop synchronization.
Escalation: Escalate after configuration and permission checks fail."
KB026,API/Integration,oauth_scope,OAuth permission missing,New permissions are not available to an existing OAuth token.,Scope added but API still denies access.,Reauthorize the integration so a new token is issued with the updated scopes.,Changing configured scopes does not necessarily modify existing tokens.,Escalate if reauthorization still returns insufficient-scope errors.,"Category: API/Integration
Intent: oauth_scope
Issue: OAuth permission missing
Problem: New permissions are not available to an existing OAuth token.
Symptoms: Scope added but API still denies access.
Resolution: Reauthorize the integration so a new token is issued with the updated scopes.
Additional information: Changing configured scopes does not necessarily modify existing tokens.
Escalation: Escalate if reauthorization still returns insufficient-scope errors."
KB031,API/Integration,pagination_error,Pagination cursor invalid,A next-page cursor cannot be reused or returns an error.,Invalid/expired cursor.,"Request a fresh page and cursor, avoid modifying parameters between cursor requests, and verify the endpoint's cursor lifetime.",Cursors may expire or depend on query parameters.,Escalate persistent invalid-cursor behavior.,"Category: API/Integration
Intent: pagination_error
Issue: Pagination cursor invalid
Problem: A next-page cursor cannot be reused or returns an error.
Symptoms: Invalid/expired cursor.
Resolution: Request a fresh page and cursor, avoid modifying parameters between cursor requests, and verify the endpoint's cursor lifetime.
Additional information: Cursors may expire or depend on query parameters.
Escalation: Escalate persistent invalid-cursor behavior."
KB033,API/Integration,rate_limit,API rate limit exceeded,Requests are rejected because the client exceeds the permitted request rate.,429 responses; throttling.,"Read rate-limit headers when available, reduce request frequency, implement exponential backoff, and batch or cache requests where appropriate.",Respect the documented rate limit.,Escalate if the customer is below the documented limit but still receives throttling.,"Category: API/Integration
Intent: rate_limit
Issue: API rate limit exceeded
Problem: Requests are rejected because the client exceeds the permitted request rate.
Symptoms: 429 responses; throttling.
Resolution: Read rate-limit headers when available, reduce request frequency, implement exponential backoff, and batch or cache requests where appropriate.
Additional information: Respect the documented rate limit.
Escalation: Escalate if the customer is below the documented limit but still receives throttling."
